"InvoiceNo","StockCode","Description","Quantity","InvoiceDate","UnitPrice","CustomerID","Country","Region"
"537403","21730","GLASS STAR FROSTED T-LIGHT HOLDER","9","2011-03-23 09:19:00","4.56","13777.0","EIRE","EMEA"
"537404","84029G","KNITTED UNION FLAG HOT WATER BOTTLE","11","2011-04-09 15:43:00","3.37","15311.0","France","EMEA"
"537404","22632","HAND WARMER RED POLKA DOT","7","2011-04-09 15:43:00","1.77","15311.0","France","EMEA"
"537404","22632","HAND WARMER RED POLKA DOT","5","2011-04-09 15:43:00","2.17","15311.0","France","EMEA"
"537405","85099B","JUMBO BAG RED RETROSPOT","1","2011-03-24 13:41:00","1.59","17809.0","EIRE","EMEA"
"537405","71053","WHITE METAL LANTERN","11","2011-03-24 13:41:00","3.65","17809.0","EIRE","EMEA"
"537406","22752","SET 7 BABUSHKA NESTING BOXES","4","2011-04-29 13:08:00","8.08","14606.0","Germany","EMEA"
"537406","22752","SET 7 BABUSHKA NESTING BOXES","10","2011-04-29 13:08:00","7.77","14606.0","Germany","EMEA"
"537406","85123A","WHITE HANGING HEART T-LIGHT HOLDER","2","2011-04-29 13:08:00","2.91","14606.0","Germany","EMEA"
"537407","22752","SET 7 BABUSHKA NESTING BOXES","10","2011-04-06 15:03:00","8.07","14606.0","Netherlands","EMEA"
"537407","84029E","RED WOOLLY HOTTIE WHITE HEART","6","2011-04-06 15:03:00","3.7","14606.0","Netherlands","EMEA"
"537408","71053","WHITE METAL LANTERN","1","2011-03-17 13:09:00","3.37","13047.0","Canada","AMER"
"537408","85099B","JUMBO BAG RED RETROSPOT","4","2011-03-17 13:09:00","1.85","13047.0","Canada","AMER"
"537408","85099B","JUMBO BAG RED RETROSPOT","8","2011-03-17 13:09:00","1.55","13047.0","Canada","AMER"
"537409","84029E","RED WOOLLY HOTTIE WHITE HEART","3","2011-04-23 14:01:00","3.33","15311.0","Germany","EMEA"
"537409","71053","WHITE METAL LANTERN","1","2011-04-23 14:01:00","3.31","15311.0","Germany","EMEA"
"537410","84406B","CREAM CUPID HEARTS COAT HANGER","2","2011-04-08 15:22:00","2.67","13777.0","USA","AMER"
"537410","85123A","WHITE HANGING HEART T-LIGHT HOLDER","9","2011-04-08 15:22:00","2.62","13777.0","USA","AMER"
"537411","22752","SET 7 BABUSHKA NESTING BOXES","12","2011-03-12 13:43:00","7.81","14606.0","Netherlands","EMEA"
"537411","20685","DOORMAT RED RETROSPOT","9","2011-03-12 13:43:00","7.21","14606.0","Netherlands","EMEA"
"537412","85099B","JUMBO BAG RED RETROSPOT","6","2011-04-09 08:47:00","2.03","12583.0","France","EMEA"
"537413","21730","GLASS STAR FROSTED T-LIGHT HOLDER","8","2011-03-06 08:22:00","4.28","13777.0","Germany","EMEA"
"537413","20685","DOORMAT RED RETROSPOT","3","2011-03-06 08:22:00","7.35","13777.0","Germany","EMEA"
"537414","85123A","WHITE HANGING HEART T-LIGHT HOLDER","7","2011-04-23 08:29:00","2.6","16029.0","Belgium","EMEA"
"537414","22632","HAND WARMER RED POLKA DOT","11","2011-04-23 08:29:00","2.05","16029.0","Belgium","EMEA"
"537414","20685","DOORMAT RED RETROSPOT","4","2011-04-23 08:29:00","7.18","16029.0","Belgium","EMEA"
"537415","22633","HAND WARMER UNION JACK","6","2011-04-10 13:05:00","2.13","15291.0","EIRE","EMEA"
"537415","85123A","WHITE HANGING HEART T-LIGHT HOLDER","5","2011-04-10 13:05:00","2.73","15291.0","EIRE","EMEA"
"537415","85123A","WHITE HANGING HEART T-LIGHT HOLDER","1","2011-04-10 13:05:00","2.63","15291.0","EIRE","EMEA"
"537416","84029G","KNITTED UNION FLAG HOT WATER BOTTLE","3","2011-03-26 10:29:00","3.51","13777.0","United Kingdom","EMEA"
"537417","22632","HAND WARMER RED POLKA DOT","4","2011-03-30 12:13:00","1.84","12583.0","USA","AMER"
"537418","84029G","KNITTED UNION FLAG HOT WATER BOTTLE","5","2011-03-22 08:27:00","3.61","12583.0","France","EMEA"
"537418","22633","HAND WARMER UNION JACK","4","2011-03-22 08:27:00","2.29","12583.0","France","EMEA"
"537419","84029E","RED WOOLLY HOTTIE WHITE HEART","7","2011-04-24 08:04:00","3.44","15311.0","France","EMEA"
"537419","22633","HAND WARMER UNION JACK","6","2011-04-24 08:04:00","2.31","15311.0","France","EMEA"
"537419","85123A","WHITE HANGING HEART T-LIGHT HOLDER","4","2011-04-24 08:04:00","2.77","15311.0","France","EMEA"
"537420","22752","SET 7 BABUSHKA NESTING BOXES","12","2011-04-27 09:34:00","7.65","14606.0","Netherlands","EMEA"
"537420","84029G","KNITTED UNION FLAG HOT WATER BOTTLE","10","2011-04-27 09:34:00","3.59","14606.0","Netherlands","EMEA"
"537420","85123A","WHITE HANGING HEART T-LIGHT HOLDER","2","2011-04-27 09:34:00","2.87","14606.0","Netherlands","EMEA"
"537421","22752","SET 7 BABUSHKA NESTING BOXES","1","2011-03-14 11:02:00","7.9","14606.0","Spain","EMEA"
"537422","84029E","RED WOOLLY HOTTIE WHITE HEART","1","2011-04-27 11:52:00","3.69","16029.0","Canada","AMER"
"537423","22633","HAND WARMER UNION JACK","7","2011-04-16 16:59:00","2.05","17850.0","United Kingdom","EMEA"
"537423","85099B","JUMBO BAG RED RETROSPOT","9","2011-04-16 16:59:00","1.79","17850.0","United Kingdom","EMEA"
"537424","84406B","CREAM CUPID HEARTS COAT HANGER","8","2011-03-10 10:22:00","2.91","14606.0","USA","AMER"
"537424","22632","HAND WARMER RED POLKA DOT","6","2011-03-10 10:22:00","2.03","14606.0","USA","AMER"
"537425","84406B","CREAM CUPID HEARTS COAT HANGER","8","2011-03-20 10:37:00","2.95","14606.0","Belgium","EMEA"
"537425","85123A","WHITE HANGING HEART T-LIGHT HOLDER","2","2011-03-20 10:37:00","2.81","14606.0","Belgium","EMEA"
"537426","22633","HAND WARMER UNION JACK","5","2011-04-15 14:52:00","2.12","12583.0","Netherlands","EMEA"
"537427","85123A","WHITE HANGING HEART T-LIGHT HOLDER","10","2011-03-06 14:24:00","3.03","12583.0","France","EMEA"
"537428","47566","PARTY BUNTING","9","2011-04-02 09:17:00","5.12","15311.0","France","EMEA"
"537428","20685","DOORMAT RED RETROSPOT","5","2011-04-02 09:17:00","7.09","15311.0","France","EMEA"
"537429","47566","PARTY BUNTING","4","2011-03-30 15:28:00","4.92","17809.0","EIRE","EMEA"
"537430","21730","GLASS STAR FROSTED T-LIGHT HOLDER","12","2011-04-07 11:33:00","4.73","14606.0","United Kingdom","EMEA"
"537430","21730","GLASS STAR FROSTED T-LIGHT HOLDER","3","2011-04-07 11:33:00","4.6","14606.0","United Kingdom","EMEA"
"537431","84029G","KNITTED UNION FLAG HOT WATER BOTTLE","12","2011-04-10 13:13:00","3.57","17809.0","Australia","APAC"
"537432","85123A","WHITE HANGING HEART T-LIGHT HOLDER","12","2011-03-30 14:13:00","3.02","13777.0","Spain","EMEA"
"537432","22752","SET 7 BABUSHKA NESTING BOXES","9","2011-03-30 14:13:00","7.76","13777.0","Spain","EMEA"
"537432","84406B","CREAM CUPID HEARTS COAT HANGER","8","2011-03-30 14:13:00","3.18","13777.0","Spain","EMEA"
"537433","47566","PARTY BUNTING","10","2011-04-29 14:54:00","5.44","14606.0","Netherlands","EMEA"
"537433","22752","SET 7 BABUSHKA NESTING BOXES","11","2011-04-29 14:54:00","7.93","14606.0","Netherlands","EMEA"
"537434","84029G","KNITTED UNION FLAG HOT WATER BOTTLE","12","2011-03-15 08:40:00","3.58","13777.0","Canada","AMER"
"537434","22632","HAND WARMER RED POLKA DOT","6","2011-03-15 08:40:00","2.35","13777.0","Canada","AMER"
"537434","71053","WHITE METAL LANTERN","5","2011-03-15 08:40:00","3.69","13777.0","Canada","AMER"
"537435","20685","DOORMAT RED RETROSPOT","4","2011-04-30 16:54:00","7.22","12583.0","Spain","EMEA"
"537435","22633","HAND WARMER UNION JACK","7","2011-04-30 16:54:00","1.82","12583.0","Spain","EMEA"
"537435","85123A","WHITE HANGING HEART T-LIGHT HOLDER","8","2011-04-30 16:54:00","2.64","12583.0","Spain","EMEA"
"537436","22752","SET 7 BABUSHKA NESTING BOXES","6","2011-03-07 13:49:00","8.03","13047.0","Belgium","EMEA"
"537436","85123A","WHITE HANGING HEART T-LIGHT HOLDER","8","2011-03-07 13:49:00","3.01","13047.0","Belgium","EMEA"
"537437","47566","PARTY BUNTING","7","2011-04-05 16:25:00","5.38","13047.0","USA","AMER"
"537437","71053","WHITE METAL LANTERN","6","2011-04-05 16:25:00","3.62","13047.0","USA","AMER"
"537437","47566","PARTY BUNTING","1","2011-04-05 16:25:00","4.89","13047.0","USA","AMER"
"537438","22633","HAND WARMER UNION JACK","1","2011-04-23 10:37:00","2.24","13777.0","USA","AMER"
"537439","71053","WHITE METAL LANTERN","6","2011-04-02 11:41:00","3.74","14096.0","France","EMEA"
"537439","84406B","CREAM CUPID HEARTS COAT HANGER","11","2011-04-02 11:41:00","3.17","14096.0","France","EMEA"
"537439","84406B","CREAM CUPID HEARTS COAT HANGER","1","2011-04-02 11:41:00","2.88","14096.0","France","EMEA"
"537440","47566","PARTY BUNTING","1","2011-03-26 15:26:00","5.06","13047.0","Germany","EMEA"
"537440","84029G","KNITTED UNION FLAG HOT WATER BOTTLE","6","2011-03-26 15:26:00","3.75","13047.0","Germany","EMEA"
"537441","84029E","RED WOOLLY HOTTIE WHITE HEART","12","2011-04-17 09:38:00","3.56","12583.0","USA","AMER"
"537441","47566","PARTY BUNTING","12","2011-04-17 09:38:00","4.85","12583.0","USA","AMER"
"537442","20685","DOORMAT RED RETROSPOT","8","2011-04-01 09:02:00","7.45","12583.0","EIRE","EMEA"
"537443","84406B","CREAM CUPID HEARTS COAT HANGER","4","2011-03-24 10:07:00","3.14","13777.0","Netherlands","EMEA"
"537444","21730","GLASS STAR FROSTED T-LIGHT HOLDER","12","2011-04-09 08:20:00","4.3","15291.0","Spain","EMEA"
"537445","85123A","WHITE HANGING HEART T-LIGHT HOLDER","11","2011-03-09 09:47:00","2.84","13777.0","Germany","EMEA"
"537446","20685","DOORMAT RED RETROSPOT","7","2011-04-20 09:33:00","7.44","13047.0","EIRE","EMEA"
"537446","20685","DOORMAT RED RETROSPOT","8","2011-04-20 09:33:00","7.5","13047.0","EIRE","EMEA"
"537447","84029G","KNITTED UNION FLAG HOT WATER BOTTLE","6","2011-04-04 15:34:00","3.3","16029.0","Germany","EMEA"
"537447","22752","SET 7 BABUSHKA NESTING BOXES","5","2011-04-04 15:34:00","8.1","16029.0","Germany","EMEA"
"537447","22752","SET 7 BABUSHKA NESTING BOXES","10","2011-04-04 15:34:00","7.66","16029.0","Germany","EMEA"
"537448","84029E","RED WOOLLY HOTTIE WHITE HEART","8","2011-03-07 10:22:00","3.29","15311.0","Germany","EMEA"
"537448","47566","PARTY BUNTING","10","2011-03-07 10:22:00","5.15","15311.0","Germany","EMEA"
"537448","84029E","RED WOOLLY HOTTIE WHITE HEART","2","2011-03-07 10:22:00","3.43","15311.0","Germany","EMEA"
"537449","21730","GLASS STAR FROSTED T-LIGHT HOLDER","5","2011-03-18 08:28:00","4.6","17809.0","United Kingdom","EMEA"
"537449","22633","HAND WARMER UNION JACK","2","2011-03-18 08:28:00","2.14","17809.0","United Kingdom","EMEA"
"537449","85099B","JUMBO BAG RED RETROSPOT","7","2011-03-18 08:28:00","1.97","17809.0","United Kingdom","EMEA"
"537450","20685","DOORMAT RED RETROSPOT","2","2011-03-13 14:35:00","7.09","14606.0","Canada","AMER"
"537450","84029E","RED WOOLLY HOTTIE WHITE HEART","6","2011-03-13 14:35:00","3.83","14606.0","Canada","AMER"
"537450","84029G","KNITTED UNION FLAG HOT WATER BOTTLE","10","2011-03-13 14:35:00","3.46","14606.0","Canada","AMER"
"537451","85123A","WHITE HANGING HEART T-LIGHT HOLDER","8","2011-04-23 10:49:00","2.91","13777.0","United Kingdom","EMEA"
"537451","84029E","RED WOOLLY HOTTIE WHITE HEART","12","2011-04-23 10:49:00","3.82","13777.0","United Kingdom","EMEA"
"537451","85099B","JUMBO BAG RED RETROSPOT","9","2011-04-23 10:49:00","1.72","13777.0","United Kingdom","EMEA"
"537452","22633","HAND WARMER UNION JACK","12","2011-03-12 10:10:00","2.04","17850.0","Spain","EMEA"
"537452","21730","GLASS STAR FROSTED T-LIGHT HOLDER","11","2011-03-12 10:10:00","4.15","17850.0","Spain","EMEA"
"537452","71053","WHITE METAL LANTERN","9","2011-03-12 10:10:00","3.88","17850.0","Spain","EMEA"
"537453","22633","HAND WARMER UNION JACK","10","2011-03-09 13:11:00","1.87","13777.0","Belgium","EMEA"
"537453","20685","DOORMAT RED RETROSPOT","12","2011-03-09 13:11:00","7.47","13777.0","Belgium","EMEA"
"537454","47566","PARTY BUNTING","1","2011-04-26 09:45:00","5.09","17809.0","Spain","EMEA"
"537454","22633","HAND WARMER UNION JACK","5","2011-04-26 09:45:00","2.13","17809.0","Spain","EMEA"
"537455","84029G","KNITTED UNION FLAG HOT WATER BOTTLE","12","2011-03-13 08:26:00","3.46","15291.0","United Kingdom","EMEA"
"537456","84406B","CREAM CUPID HEARTS COAT HANGER","6","2011-03-02 16:16:00","2.92","13047.0","Australia","APAC"
"537457","84029G","KNITTED UNION FLAG HOT WATER BOTTLE","6","2011-03-12 11:29:00","3.42","14606.0","Netherlands","EMEA"
"537457","84029E","RED WOOLLY HOTTIE WHITE HEART","10","2011-03-12 11:29:00","3.8","14606.0","Netherlands","EMEA"
"537457","84406B","CREAM CUPID HEARTS COAT HANGER","5","2011-03-12 11:29:00","3.24","14606.0","Netherlands","EMEA"
"537458","84406B","CREAM CUPID HEARTS COAT HANGER","6","2011-04-02 11:10:00","3.16","16029.0","USA","AMER"
"537458","84029G","KNITTED UNION FLAG HOT WATER BOTTLE","6","2011-04-02 11:10:00","3.31","16029.0","USA","AMER"
"537459","47566","PARTY BUNTING","1","2011-03-17 14:40:00","4.97","13777.0","Australia","APAC"
"537460","22633","HAND WARMER UNION JACK","1","2011-04-25 09:14:00","1.95","13777.0","Spain","EMEA"
"537460","22633","HAND WARMER UNION JACK","11","2011-04-25 09:14:00","2.18","13777.0","Spain","EMEA"
"537460","20685","DOORMAT RED RETROSPOT","6","2011-04-25 09:14:00","7.06","13777.0","Spain","EMEA"
"537461","20685","DOORMAT RED RETROSPOT","5","2011-04-16 08:02:00","6.99","12583.0","Germany","EMEA"
"537462","84029G","KNITTED UNION FLAG HOT WATER BOTTLE","11","2011-03-09 08:12:00","3.79","14606.0","EIRE","EMEA"
"537463","84029G","KNITTED UNION FLAG HOT WATER BOTTLE","6","2011-03-20 13:58:00","3.79","15291.0","EIRE","EMEA"
"537463","85123A","WHITE HANGING HEART T-LIGHT HOLDER","3","2011-03-20 13:58:00","2.51","15291.0","EIRE","EMEA"
"537464","21730","GLASS STAR FROSTED T-LIGHT HOLDER","7","2011-04-04 11:25:00","4.49","15311.0","Belgium","EMEA"
"537464","85099B","JUMBO BAG RED RETROSPOT","4","2011-04-04 11:25:00","1.79","15311.0","Belgium","EMEA"
"537464","22752","SET 7 BABUSHKA NESTING BOXES","9","2011-04-04 11:25:00","7.78","15311.0","Belgium","EMEA"
"537465","20685","DOORMAT RED RETROSPOT","6","2011-03-05 15:34:00","7.49","16029.0","Spain","EMEA"
"537465","71053","WHITE METAL LANTERN","4","2011-03-05 15:34:00","3.72","16029.0","Spain","EMEA"
"537465","84029E","RED WOOLLY HOTTIE WHITE HEART","5","2011-03-05 15:34:00","3.77","16029.0","Spain","EMEA"
"537466","21730","GLASS STAR FROSTED T-LIGHT HOLDER","8","2011-04-14 10:38:00","4.45","15311.0","Netherlands","EMEA"
"537466","22633","HAND WARMER UNION JACK","6","2011-04-14 10:38:00","2.1","15311.0","Netherlands","EMEA"
"537466","84406B","CREAM CUPID HEARTS COAT HANGER","9","2011-04-14 10:38:00","2.78","15311.0","Netherlands","EMEA"
"537467","21730","GLASS STAR FROSTED T-LIGHT HOLDER","7","2011-04-12 14:06:00","4.39","15291.0","USA","AMER"
"537467","84029G","KNITTED UNION FLAG HOT WATER BOTTLE","5","2011-04-12 14:06:00","3.4","15291.0","USA","AMER"
"537467","22632","HAND WARMER RED POLKA DOT","1","2011-04-12 14:06:00","2.11","15291.0","USA","AMER"
"537468","22632","HAND WARMER RED POLKA DOT","3","2011-04-16 09:24:00","1.93","14606.0","Netherlands","EMEA"
"537469","84029E","RED WOOLLY HOTTIE WHITE HEART","11","2011-04-18 13:43:00","3.63","17850.0","Australia","APAC"
"537469","71053","WHITE METAL LANTERN","11","2011-04-18 13:43:00","3.85","17850.0","Australia","APAC"
"537470","21730","GLASS STAR FROSTED T-LIGHT HOLDER","6","2011-03-24 12:31:00","4.21","14096.0","United Kingdom","EMEA"
"537470","84406B","CREAM CUPID HEARTS COAT HANGER","7","2011-03-24 12:31:00","2.94","14096.0","United Kingdom","EMEA"
"537471","22752","SET 7 BABUSHKA NESTING BOXES","4","2011-04-27 08:29:00","7.76","16029.0","Spain","EMEA"
"537471","84029G","KNITTED UNION FLAG HOT WATER BOTTLE","9","2011-04-27 08:29:00","3.44","16029.0","Spain","EMEA"
"537471","22752","SET 7 BABUSHKA NESTING BOXES","7","2011-04-27 08:29:00","7.65","16029.0","Spain","EMEA"
"537472","22752","SET 7 BABUSHKA NESTING BOXES","2","2011-03-20 13:27:00","7.75","15311.0","EIRE","EMEA"
"537472","22632","HAND WARMER RED POLKA DOT","3","2011-03-20 13:27:00","1.84","15311.0","EIRE","EMEA"
"537472","84029G","KNITTED UNION FLAG HOT WATER BOTTLE","1","2011-03-20 13:27:00","3.65","15311.0","EIRE","EMEA"
"537473","21730","GLASS STAR FROSTED T-LIGHT HOLDER","8","2011-03-03 13:36:00","4.39","14096.0","Australia","APAC"
"537473","20685","DOORMAT RED RETROSPOT","6","2011-03-03 13:36:00","7.38","14096.0","Australia","APAC"
"537474","84029G","KNITTED UNION FLAG HOT WATER BOTTLE","4","2011-03-18 16:43:00","3.75","12583.0","Germany","EMEA"
"537474","84029E","RED WOOLLY HOTTIE WHITE HEART","5","2011-03-18 16:43:00","3.35","12583.0","Germany","EMEA"
