"InvoiceNo","StockCode","Description","Quantity","InvoiceDate","UnitPrice","CustomerID","Country","PromoCode"
"538372","21730","GLASS STAR FROSTED T-LIGHT HOLDER","3","2011-01-05 15:54:00","4.23","17809.0","France",""
"538373","84406B","CREAM CUPID HEARTS COAT HANGER","5","2011-01-08 09:35:00","2.84","15291.0","Spain",""
"538373","84029G","KNITTED UNION FLAG HOT WATER BOTTLE","12","2011-01-08 09:35:00","3.79","15291.0","Spain",""
"538374","85123A","WHITE HANGING HEART T-LIGHT HOLDER","10","2011-01-19 10:02:00","2.55","14606.0","France","NEWCUST"
"538374","20685","DOORMAT RED RETROSPOT","10","2011-01-19 10:02:00","7.34","14606.0","France",""
"538374","85099B","JUMBO BAG RED RETROSPOT","11","2011-01-19 10:02:00","1.95","14606.0","France",""
"538374","84406B","CREAM CUPID HEARTS COAT HANGER","9","2011-01-19 10:02:00","2.65","14606.0","France","SUMMER10"
"538375","22752","SET 7 BABUSHKA NESTING BOXES","9","2011-01-03 16:05:00","7.74","13047.0","Australia","NEWCUST"
"538375","20685","DOORMAT RED RETROSPOT","12","2011-01-03 16:05:00","7.08","13047.0","Australia",""
"538375","47566","PARTY BUNTING","12","2011-01-03 16:05:00","4.97","13047.0","Australia",""
"538375","84406B","CREAM CUPID HEARTS COAT HANGER","6","2011-01-03 16:05:00","2.86","13047.0","Australia","SUMMER10"
"538376","20685","DOORMAT RED RETROSPOT","7","2010-12-13 12:39:00","7.26","14606.0","Netherlands","SUMMER10"
"538376","47566","PARTY BUNTING","11","2010-12-13 12:39:00","5.14","14606.0","Netherlands",""
"538376","47566","PARTY BUNTING","4","2010-12-13 12:39:00","5.23","14606.0","Netherlands","SUMMER10"
"538376","85099B","JUMBO BAG RED RETROSPOT","2","2010-12-13 12:39:00","2.01","14606.0","Netherlands",""
"538377","85123A","WHITE HANGING HEART T-LIGHT HOLDER","2","2010-12-02 09:35:00","2.59","13047.0","Germany","NEWCUST"
"538377","22632","HAND WARMER RED POLKA DOT","11","2010-12-02 09:35:00","2.14","13047.0","Germany",""
"538378","84406B","CREAM CUPID HEARTS COAT HANGER","11","2010-12-13 13:31:00","3.2","14096.0","United Kingdom","BULK5"
"538378","84029E","RED WOOLLY HOTTIE WHITE HEART","5","2010-12-13 13:31:00","3.31","14096.0","United Kingdom",""
"538379","85123A","WHITE HANGING HEART T-LIGHT HOLDER","8","2010-12-29 15:11:00","2.62","13047.0","France",""
"538380","84029E","RED WOOLLY HOTTIE WHITE HEART","4","2010-12-31 14:41:00","3.63","12583.0","France","SUMMER10"
"538380","22633","HAND WARMER UNION JACK","3","2010-12-31 14:41:00","1.85","12583.0","France","BULK5"
"538380","20685","DOORMAT RED RETROSPOT","8","2010-12-31 14:41:00","7.18","12583.0","France",""
"538380","22632","HAND WARMER RED POLKA DOT","12","2010-12-31 14:41:00","2.17","12583.0","France","BULK5"
"538381","22752","SET 7 BABUSHKA NESTING BOXES","10","2011-01-03 13:38:00","7.67","14606.0","United Kingdom",""
"538381","22633","HAND WARMER UNION JACK","9","2011-01-03 13:38:00","2.35","14606.0","United Kingdom","BULK5"
"538381","21730","GLASS STAR FROSTED T-LIGHT HOLDER","2","2011-01-03 13:38:00","4.52","14606.0","United Kingdom",""
"538381","21730","GLASS STAR FROSTED T-LIGHT HOLDER","10","2011-01-03 13:38:00","4.71","14606.0","United Kingdom","NEWCUST"
"538382","22633","HAND WARMER UNION JACK","6","2011-01-27 15:44:00","1.91","15291.0","Belgium",""
"538383","84406B","CREAM CUPID HEARTS COAT HANGER","10","2010-12-19 15:25:00","2.92","15291.0","Germany",""
"538384","71053","WHITE METAL LANTERN","8","2010-12-06 14:46:00","3.77","16029.0","Australia",""
"538384","85123A","WHITE HANGING HEART T-LIGHT HOLDER","3","2010-12-06 14:46:00","2.87","16029.0","Australia",""
"538384","21730","GLASS STAR FROSTED T-LIGHT HOLDER","11","2010-12-06 14:46:00","4.3","16029.0","Australia",""
"538385","84029G","KNITTED UNION FLAG HOT WATER BOTTLE","12","2011-01-18 13:31:00","3.3","13047.0","United Kingdom",""
"538386","84029E","RED WOOLLY HOTTIE WHITE HEART","11","2011-01-07 09:12:00","3.42","13047.0","EIRE",""
"538386","22752","SET 7 BABUSHKA NESTING BOXES","8","2011-01-07 09:12:00","7.72","13047.0","EIRE",""
"538387","85123A","WHITE HANGING HEART T-LIGHT HOLDER","10","2010-12-21 12:09:00","2.77","14096.0","Belgium",""
"538387","21730","GLASS STAR FROSTED T-LIGHT HOLDER","5","2010-12-21 12:09:00","4.36","14096.0","Belgium",""
"538387","85123A","WHITE HANGING HEART T-LIGHT HOLDER","8","2010-12-21 12:09:00","2.47","14096.0","Belgium","BULK5"
"538387","71053","WHITE METAL LANTERN","9","2010-12-21 12:09:00","3.88","14096.0","Belgium",""
"538388","85123A","WHITE HANGING HEART T-LIGHT HOLDER","10","2010-12-02 10:43:00","2.89","13047.0","France","NEWCUST"
"538388","71053","WHITE METAL LANTERN","7","2010-12-02 10:43:00","3.57","13047.0","France",""
"538388","84029E","RED WOOLLY HOTTIE WHITE HEART","4","2010-12-02 10:43:00","3.52","13047.0","France","SUMMER10"
"538389","84406B","CREAM CUPID HEARTS COAT HANGER","5","2011-01-03 13:32:00","2.66","15311.0","Netherlands",""
"538389","22752","SET 7 BABUSHKA NESTING BOXES","9","2011-01-03 13:32:00","8.13","15311.0","Netherlands",""
"538390","84029E","RED WOOLLY HOTTIE WHITE HEART","7","2010-12-22 10:51:00","3.4","15311.0","Germany",""
"538390","22633","HAND WARMER UNION JACK","1","2010-12-22 10:51:00","1.86","15311.0","Germany","NEWCUST"
"538391","84029G","KNITTED UNION FLAG HOT WATER BOTTLE","9","2010-12-09 13:56:00","3.89","17850.0","Australia","NEWCUST"
"538391","84029G","KNITTED UNION FLAG HOT WATER BOTTLE","11","2010-12-09 13:56:00","3.55","17850.0","Australia","NEWCUST"
"538391","47566","PARTY BUNTING","8","2010-12-09 13:56:00","5.31","17850.0","Australia",""
"538391","71053","WHITE METAL LANTERN","1","2010-12-09 13:56:00","3.65","17850.0","Australia","BULK5"
"538392","22752","SET 7 BABUSHKA NESTING BOXES","9","2011-01-08 14:36:00","8.03","15291.0","United Kingdom","BULK5"
"538392","85099B","JUMBO BAG RED RETROSPOT","6","2011-01-08 14:36:00","1.59","15291.0","United Kingdom","NEWCUST"
"538393","84406B","CREAM CUPID HEARTS COAT HANGER","6","2010-12-24 13:36:00","2.76","14606.0","Germany",""
"538393","21730","GLASS STAR FROSTED T-LIGHT HOLDER","1","2010-12-24 13:36:00","4.35","14606.0","Germany","NEWCUST"
"538393","85099B","JUMBO BAG RED RETROSPOT","2","2010-12-24 13:36:00","1.61","14606.0","Germany",""
"538394","84029G","KNITTED UNION FLAG HOT WATER BOTTLE","8","2011-01-16 14:06:00","3.74","15311.0","France",""
"538394","84029G","KNITTED UNION FLAG HOT WATER BOTTLE","5","2011-01-16 14:06:00","3.4","15311.0","France",""
"538394","47566","PARTY BUNTING","2","2011-01-16 14:06:00","4.94","15311.0","France",""
"538395","21730","GLASS STAR FROSTED T-LIGHT HOLDER","11","2010-12-23 16:58:00","4.31","15291.0","Belgium","BULK5"
"538395","84029G","KNITTED UNION FLAG HOT WATER BOTTLE","2","2010-12-23 16:58:00","3.36","15291.0","Belgium",""
"538396","85099B","JUMBO BAG RED RETROSPOT","1","2011-01-14 10:45:00","2.01","16029.0","EIRE","NEWCUST"
"538396","22633","HAND WARMER UNION JACK","8","2011-01-14 10:45:00","1.79","16029.0","EIRE",""
"538396","84029G","KNITTED UNION FLAG HOT WATER BOTTLE","10","2011-01-14 10:45:00","3.51","16029.0","EIRE","NEWCUST"
"538397","21730","GLASS STAR FROSTED T-LIGHT HOLDER","1","2010-12-16 13:06:00","4.52","14096.0","United Kingdom",""
"538397","20685","DOORMAT RED RETROSPOT","2","2010-12-16 13:06:00","7.36","14096.0","United Kingdom",""
"538397","22752","SET 7 BABUSHKA NESTING BOXES","12","2010-12-16 13:06:00","7.7","14096.0","United Kingdom",""
"538398","20685","DOORMAT RED RETROSPOT","7","2011-01-04 14:03:00","7.17","15311.0","United Kingdom",""
"538398","71053","WHITE METAL LANTERN","3","2011-01-04 14:03:00","3.61","15311.0","United Kingdom","BULK5"
"538399","22633","HAND WARMER UNION JACK","4","2011-01-01 14:25:00","2.17","17850.0","Spain",""
"538400","22632","HAND WARMER RED POLKA DOT","3","2011-01-28 08:28:00","1.93","16029.0","Spain","BULK5"
"538401","20685","DOORMAT RED RETROSPOT","4","2010-12-01 14:54:00","7.02","14096.0","Germany","BULK5"
"538401","22752","SET 7 BABUSHKA NESTING BOXES","9","2010-12-01 14:54:00","8.04","14096.0","Germany",""
"538401","20685","DOORMAT RED RETROSPOT","12","2010-12-01 14:54:00","7.54","14096.0","Germany",""
"538401","22632","HAND WARMER RED POLKA DOT","3","2010-12-01 14:54:00","2.15","14096.0","Germany","SUMMER10"
"538402","84029E","RED WOOLLY HOTTIE WHITE HEART","12","2011-01-10 11:52:00","3.55","15291.0","EIRE",""
"538402","71053","WHITE METAL LANTERN","2","2011-01-10 11:52:00","3.58","15291.0","EIRE",""
"538402","22752","SET 7 BABUSHKA NESTING BOXES","4","2011-01-10 11:52:00","7.87","15291.0","EIRE",""
"538402","21730","GLASS STAR FROSTED T-LIGHT HOLDER","8","2011-01-10 11:52:00","4.49","15291.0","EIRE",""
"538403","71053","WHITE METAL LANTERN","12","2010-12-19 11:14:00","3.39","14606.0","Belgium",""
"538403","22633","HAND WARMER UNION JACK","11","2010-12-19 11:14:00","1.97","14606.0","Belgium","SUMMER10"
"538403","22632","HAND WARMER RED POLKA DOT","1","2010-12-19 11:14:00","1.76","14606.0","Belgium",""
"538403","84029G","KNITTED UNION FLAG HOT WATER BOTTLE","11","2010-12-19 11:14:00","3.57","14606.0","Belgium","BULK5"
"538404","22632","HAND WARMER RED POLKA DOT","12","2010-12-20 09:39:00","1.81","13047.0","Spain","SUMMER10"
"538404","84406B","CREAM CUPID HEARTS COAT HANGER","6","2010-12-20 09:39:00","2.66","13047.0","Spain",""
"538405","85123A","WHITE HANGING HEART T-LIGHT HOLDER","3","2010-12-14 11:20:00","2.91","13777.0","EIRE",""
"538405","22633","HAND WARMER UNION JACK","12","2010-12-14 11:20:00","2.19","13777.0","EIRE","BULK5"
"538405","84029G","KNITTED UNION FLAG HOT WATER BOTTLE","11","2010-12-14 11:20:00","3.62","13777.0","EIRE","BULK5"
"538406","22633","HAND WARMER UNION JACK","7","2010-12-27 14:49:00","2.03","14606.0","Germany",""
"538406","47566","PARTY BUNTING","9","2010-12-27 14:49:00","5.0","14606.0","Germany",""
"538406","84029E","RED WOOLLY HOTTIE WHITE HEART","9","2010-12-27 14:49:00","3.62","14606.0","Germany",""
"538406","22633","HAND WARMER UNION JACK","9","2010-12-27 14:49:00","2.16","14606.0","Germany","NEWCUST"
"538407","84029E","RED WOOLLY HOTTIE WHITE HEART","7","2010-12-05 10:36:00","3.51","15291.0","EIRE",""
"538407","21730","GLASS STAR FROSTED T-LIGHT HOLDER","11","2010-12-05 10:36:00","4.17","15291.0","EIRE",""
"538407","84406B","CREAM CUPID HEARTS COAT HANGER","5","2010-12-05 10:36:00","3.0","15291.0","EIRE","BULK5"
"538407","84029E","RED WOOLLY HOTTIE WHITE HEART","7","2010-12-05 10:36:00","3.63","15291.0","EIRE","SUMMER10"
"538408","22632","HAND WARMER RED POLKA DOT","2","2011-01-12 14:49:00","2.01","16029.0","Netherlands",""
"538408","85123A","WHITE HANGING HEART T-LIGHT HOLDER","2","2011-01-12 14:49:00","2.74","16029.0","Netherlands",""
"538409","85099B","JUMBO BAG RED RETROSPOT","3","2011-01-15 11:01:00","2.11","13047.0","United Kingdom",""
"538410","21730","GLASS STAR FROSTED T-LIGHT HOLDER","11","2011-01-11 08:51:00","4.73","12583.0","EIRE",""
"538410","20685","DOORMAT RED RETROSPOT","2","2011-01-11 08:51:00","7.16","12583.0","EIRE",""
"538411","22632","HAND WARMER RED POLKA DOT","7","2011-01-18 09:08:00","2.21","15311.0","United Kingdom",""
"538411","71053","WHITE METAL LANTERN","11","2011-01-18 09:08:00","3.44","15311.0","United Kingdom","BULK5"
"538411","71053","WHITE METAL LANTERN","5","2011-01-18 09:08:00","3.85","15311.0","United Kingdom","NEWCUST"
"538411","22752","SET 7 BABUSHKA NESTING BOXES","3","2011-01-18 09:08:00","8.15","15311.0","United Kingdom","BULK5"
"538412","84406B","CREAM CUPID HEARTS COAT HANGER","3","2010-12-28 11:54:00","3.19","15291.0","EIRE","SUMMER10"
"538412","22633","HAND WARMER UNION JACK","1","2010-12-28 11:54:00","2.15","15291.0","EIRE","SUMMER10"
"538412","22633","HAND WARMER UNION JACK","6","2010-12-28 11:54:00","2.03","15291.0","EIRE",""
"538413","84406B","CREAM CUPID HEARTS COAT HANGER","7","2011-01-22 12:04:00","2.81","13777.0","Spain",""
"538414","21730","GLASS STAR FROSTED T-LIGHT HOLDER","9","2010-12-24 11:09:00","4.61","17850.0","Australia",""
"538414","21730","GLASS STAR FROSTED T-LIGHT HOLDER","8","2010-12-24 11:09:00","4.51","17850.0","Australia","SUMMER10"
"538414","21730","GLASS STAR FROSTED T-LIGHT HOLDER","9","2010-12-24 11:09:00","4.71","17850.0","Australia",""
"538414","20685","DOORMAT RED RETROSPOT","2","2010-12-24 11:09:00","7.31","17850.0","Australia","NEWCUST"
"538415","84406B","CREAM CUPID HEARTS COAT HANGER","2","2011-01-23 10:08:00","2.81","14096.0","Australia",""
"538415","85099B","JUMBO BAG RED RETROSPOT","2","2011-01-23 10:08:00","1.61","14096.0","Australia",""
"538415","22752","SET 7 BABUSHKA NESTING BOXES","3","2011-01-23 10:08:00","7.8","14096.0","Australia",""
"538416","22633","HAND WARMER UNION JACK","8","2010-12-02 14:52:00","2.21","15311.0","EIRE",""
"538416","20685","DOORMAT RED RETROSPOT","6","2010-12-02 14:52:00","7.52","15311.0","EIRE",""
"538416","22633","HAND WARMER UNION JACK","12","2010-12-02 14:52:00","1.95","15311.0","EIRE",""
"538417","22633","HAND WARMER UNION JACK","2","2010-12-11 15:42:00","2.28","14606.0","Netherlands",""
"538417","22752","SET 7 BABUSHKA NESTING BOXES","11","2010-12-11 15:42:00","7.74","14606.0","Netherlands",""
"538418","22632","HAND WARMER RED POLKA DOT","5","2010-12-02 09:51:00","2.08","17850.0","Australia",""
"538418","21730","GLASS STAR FROSTED T-LIGHT HOLDER","5","2010-12-02 09:51:00","4.71","17850.0","Australia",""
"538418","20685","DOORMAT RED RETROSPOT","1","2010-12-02 09:51:00","7.11","17850.0","Australia",""
"538418","22633","HAND WARMER UNION JACK","12","2010-12-02 09:51:00","2.0","17850.0","Australia","SUMMER10"
"538419","22632","HAND WARMER RED POLKA DOT","8","2011-01-26 08:20:00","1.88","14606.0","Belgium","BULK5"
"538419","84406B","CREAM CUPID HEARTS COAT HANGER","12","2011-01-26 08:20:00","2.76","14606.0","Belgium","BULK5"
"538419","22632","HAND WARMER RED POLKA DOT","7","2011-01-26 08:20:00","2.3","14606.0","Belgium","SUMMER10"
"538420","84029G","KNITTED UNION FLAG HOT WATER BOTTLE","1","2010-12-08 12:57:00","3.66","15311.0","Australia",""
"538421","22632","HAND WARMER RED POLKA DOT","4","2010-12-26 16:04:00","2.01","17850.0","France","SUMMER10"
"538422","71053","WHITE METAL LANTERN","11","2011-01-09 15:50:00","3.44","15291.0","Spain",""
"538422","84029G","KNITTED UNION FLAG HOT WATER BOTTLE","9","2011-01-09 15:50:00","3.62","15291.0","Spain",""
"538423","84406B","CREAM CUPID HEARTS COAT HANGER","5","2011-01-18 08:50:00","3.24","17850.0","Spain","BULK5"
"538423","84029E","RED WOOLLY HOTTIE WHITE HEART","1","2011-01-18 08:50:00","3.82","17850.0","Spain","SUMMER10"
"538424","20685","DOORMAT RED RETROSPOT","9","2010-12-16 16:03:00","7.55","13047.0","Germany","NEWCUST"
"538424","22632","HAND WARMER RED POLKA DOT","2","2010-12-16 16:03:00","1.89","13047.0","Germany",""
"538424","47566","PARTY BUNTING","8","2010-12-16 16:03:00","5.26","13047.0","Germany","NEWCUST"
"538425","84406B","CREAM CUPID HEARTS COAT HANGER","3","2011-01-27 15:16:00","3.05","13047.0","Spain",""
"538425","22752","SET 7 BABUSHKA NESTING BOXES","5","2011-01-27 15:16:00","7.89","13047.0","Spain",""
"538426","85099B","JUMBO BAG RED RETROSPOT","2","2010-12-01 10:04:00","2.03","13047.0","United Kingdom","NEWCUST"
"538427","84029E","RED WOOLLY HOTTIE WHITE HEART","3","2010-12-29 16:04:00","3.55","17850.0","Spain",""
"538427","21730","GLASS STAR FROSTED T-LIGHT HOLDER","4","2010-12-29 16:04:00","4.25","17850.0","Spain",""
"538428","22752","SET 7 BABUSHKA NESTING BOXES","11","2011-01-02 15:20:00","7.69","14606.0","EIRE",""
"538428","85099B","JUMBO BAG RED RETROSPOT","6","2011-01-02 15:20:00","2.08","14606.0","EIRE",""
"538428","22632","HAND WARMER RED POLKA DOT","8","2011-01-02 15:20:00","2.13","14606.0","EIRE","NEWCUST"
"538429","21730","GLASS STAR FROSTED T-LIGHT HOLDER","7","2011-01-27 11:33:00","4.67","12583.0","EIRE","BULK5"
"538429","47566","PARTY BUNTING","8","2011-01-27 11:33:00","5.25","12583.0","EIRE",""
"538429","85099B","JUMBO BAG RED RETROSPOT","3","2011-01-27 11:33:00","2.12","12583.0","EIRE",""
"538429","84029E","RED WOOLLY HOTTIE WHITE HEART","2","2011-01-27 11:33:00","3.81","12583.0","EIRE","NEWCUST"
"538430","22633","HAND WARMER UNION JACK","8","2011-01-28 14:54:00","1.97","15311.0","Netherlands",""
"538430","84406B","CREAM CUPID HEARTS COAT HANGER","2","2011-01-28 14:54:00","3.1","15311.0","Netherlands","BULK5"
"538430","22633","HAND WARMER UNION JACK","4","2011-01-28 14:54:00","2.2","15311.0","Netherlands",""
"538430","20685","DOORMAT RED RETROSPOT","2","2011-01-28 14:54:00","7.02","15311.0","Netherlands",""
"538431","22633","HAND WARMER UNION JACK","11","2011-01-01 13:26:00","2.22","14606.0","France","NEWCUST"
"538432","22633","HAND WARMER UNION JACK","5","2010-12-12 09:16:00","2.2","17850.0","Australia",""
"538432","22752","SET 7 BABUSHKA NESTING BOXES","1","2010-12-12 09:16:00","8.09","17850.0","Australia","NEWCUST"
"538432","84029E","RED WOOLLY HOTTIE WHITE HEART","12","2010-12-12 09:16:00","3.62","17850.0","Australia",""
"538432","84406B","CREAM CUPID HEARTS COAT HANGER","4","2010-12-12 09:16:00","3.13","17850.0","Australia","NEWCUST"
"538433","85099B","JUMBO BAG RED RETROSPOT","12","2011-01-04 12:21:00","1.81","13047.0","EIRE",""
"538433","84029G","KNITTED UNION FLAG HOT WATER BOTTLE","2","2011-01-04 12:21:00","3.56","13047.0","EIRE",""
"538433","22633","HAND WARMER UNION JACK","9","2011-01-04 12:21:00","1.87","13047.0","EIRE",""
"538433","22633","HAND WARMER UNION JACK","7","2011-01-04 12:21:00","2.28","13047.0","EIRE","NEWCUST"
"538434","47566","PARTY BUNTING","12","2011-01-27 15:36:00","5.3","15291.0","Belgium","BULK5"
"538434","22632","HAND WARMER RED POLKA DOT","7","2011-01-27 15:36:00","1.9","15291.0","Belgium","SUMMER10"
"538434","22632","HAND WARMER RED POLKA DOT","3","2011-01-27 15:36:00","1.94","15291.0","Belgium",""
"538434","84029G","KNITTED UNION FLAG HOT WATER BOTTLE","11","2011-01-27 15:36:00","3.66","15291.0","Belgium",""
"538435","21730","GLASS STAR FROSTED T-LIGHT HOLDER","11","2010-12-18 11:04:00","4.42","17809.0","United Kingdom","SUMMER10"
"538436","84406B","CREAM CUPID HEARTS COAT HANGER","5","2011-01-24 10:10:00","2.68","14606.0","United Kingdom","NEWCUST"
"538436","21730","GLASS STAR FROSTED T-LIGHT HOLDER","7","2011-01-24 10:10:00","4.58","14606.0","United Kingdom","SUMMER10"
"538436","21730","GLASS STAR FROSTED T-LIGHT HOLDER","5","2011-01-24 10:10:00","4.18","14606.0","United Kingdom",""
"538437","20685","DOORMAT RED RETROSPOT","7","2010-12-30 16:35:00","7.22","12583.0","Belgium",""
"538437","85123A","WHITE HANGING HEART T-LIGHT HOLDER","1","2010-12-30 16:35:00","2.57","12583.0","Belgium","SUMMER10"
"538437","84029G","KNITTED UNION FLAG HOT WATER BOTTLE","8","2010-12-30 16:35:00","3.51","12583.0","Belgium","NEWCUST"
"538438","22633","HAND WARMER UNION JACK","11","2010-12-29 14:28:00","1.96","13777.0","United Kingdom","BULK5"
"538438","71053","WHITE METAL LANTERN","4","2010-12-29 14:28:00","3.69","13777.0","United Kingdom","NEWCUST"
"538438","71053","WHITE METAL LANTERN","3","2010-12-29 14:28:00","3.64","13777.0","United Kingdom",""
"538438","22752","SET 7 BABUSHKA NESTING BOXES","6","2010-12-29 14:28:00","7.64","13777.0","United Kingdom",""
"538439","20685","DOORMAT RED RETROSPOT","12","2011-01-05 16:50:00","7.36","16029.0","EIRE",""
"538439","71053","WHITE METAL LANTERN","12","2011-01-05 16:50:00","3.36","16029.0","EIRE","BULK5"
"538439","47566","PARTY BUNTING","6","2011-01-05 16:50:00","5.04","16029.0","EIRE","BULK5"
"538440","85099B","JUMBO BAG RED RETROSPOT","3","2010-12-18 09:25:00","1.74","17809.0","United Kingdom",""
"538440","20685","DOORMAT RED RETROSPOT","9","2010-12-18 09:25:00","7.01","17809.0","United Kingdom",""
"538440","22632","HAND WARMER RED POLKA DOT","2","2010-12-18 09:25:00","2.34","17809.0","United Kingdom",""
"538441","22632","HAND WARMER RED POLKA DOT","9","2011-01-28 10:48:00","2.33","13777.0","Australia",""
"538441","84029G","KNITTED UNION FLAG HOT WATER BOTTLE","7","2011-01-28 10:48:00","3.31","13777.0","Australia","SUMMER10"
"538441","71053","WHITE METAL LANTERN","1","2011-01-28 10:48:00","3.69","13777.0","Australia",""
"538441","84029G","KNITTED UNION FLAG HOT WATER BOTTLE","6","2011-01-28 10:48:00","3.63","13777.0","Australia","BULK5"
"538442","85123A","WHITE HANGING HEART T-LIGHT HOLDER","10","2011-01-02 08:03:00","2.71","17809.0","France","SUMMER10"
"538442","22632","HAND WARMER RED POLKA DOT","1","2011-01-02 08:03:00","2.22","17809.0","France","SUMMER10"
"538442","47566","PARTY BUNTING","9","2011-01-02 08:03:00","5.28","17809.0","France",""
"538443","22752","SET 7 BABUSHKA NESTING BOXES","10","2011-01-29 14:24:00","7.68","13047.0","EIRE",""
"538443","84029G","KNITTED UNION FLAG HOT WATER BOTTLE","6","2011-01-29 14:24:00","3.32","13047.0","EIRE","SUMMER10"
"538444","47566","PARTY BUNTING","6","2010-12-26 09:44:00","5.15","17850.0","United Kingdom","NEWCUST"
"538444","22633","HAND WARMER UNION JACK","4","2010-12-26 09:44:00","1.75","17850.0","United Kingdom",""
"538445","22632","HAND WARMER RED POLKA DOT","10","2011-01-25 09:52:00","1.84","14606.0","Spain",""
"538445","22632","HAND WARMER RED POLKA DOT","3","2011-01-25 09:52:00","1.84","14606.0","Spain",""
"538446","71053","WHITE METAL LANTERN","6","2011-01-11 13:44:00","3.35","17809.0","Germany","NEWCUST"
"538446","84406B","CREAM CUPID HEARTS COAT HANGER","9","2011-01-11 13:44:00","3.17","17809.0","Germany",""
"538446","22632","HAND WARMER RED POLKA DOT","10","2011-01-11 13:44:00","2.34","17809.0","Germany",""
"538446","22632","HAND WARMER RED POLKA DOT","8","2011-01-11 13:44:00","2.19","17809.0","Germany","SUMMER10"
"538447","21730","GLASS STAR FROSTED T-LIGHT HOLDER","9","2010-12-08 11:33:00","4.39","12583.0","United Kingdom","SUMMER10"
"538447","85099B","JUMBO BAG RED RETROSPOT","11","2010-12-08 11:33:00","1.61","12583.0","United Kingdom","NEWCUST"
"538447","20685","DOORMAT RED RETROSPOT","9","2010-12-08 11:33:00","7.12","12583.0","United Kingdom",""
"538447","20685","DOORMAT RED RETROSPOT","10","2010-12-08 11:33:00","7.28","12583.0","United Kingdom",""
"538448","84406B","CREAM CUPID HEARTS COAT HANGER","5","2010-12-10 08:17:00","2.66","13047.0","Australia",""
"538448","84406B","CREAM CUPID HEARTS COAT HANGER","8","2010-12-10 08:17:00","2.82","13047.0","Australia","SUMMER10"
"538449","85099B","JUMBO BAG RED RETROSPOT","8","2010-12-20 11:13:00","1.67","14606.0","Belgium",""
"538450","47566","PARTY BUNTING","10","2010-12-03 14:11:00","5.42","16029.0","United Kingdom",""
"538451","85123A","WHITE HANGING HEART T-LIGHT HOLDER","11","2010-12-04 12:06:00","2.99","16029.0","EIRE",""
"538452","22633","HAND WARMER UNION JACK","7","2010-12-14 09:17:00","2.05","15311.0","Belgium","SUMMER10"
"538453","47566","PARTY BUNTING","12","2010-12-19 14:04:00","5.44","14096.0","Germany","SUMMER10"
"538454","47566","PARTY BUNTING","7","2011-01-27 08:33:00","5.37","15311.0","Netherlands",""
"538454","22633","HAND WARMER UNION JACK","5","2011-01-27 08:33:00","1.98","15311.0","Netherlands","SUMMER10"
"538454","20685","DOORMAT RED RETROSPOT","10","2011-01-27 08:33:00","7.15","15311.0","Netherlands",""
"538455","85123A","WHITE HANGING HEART T-LIGHT HOLDER","4","2010-12-09 09:38:00","3.02","14096.0","EIRE","SUMMER10"
"538455","20685","DOORMAT RED RETROSPOT","7","2010-12-09 09:38:00","7.54","14096.0","EIRE",""
