"InvoiceNo","StockCode","Description","Quantity","InvoiceDate","UnitPrice","CustomerID","Country"
"536384","22632","HAND WARMER RED POLKA DOT","1","2010-12-07 08:41:00","2.33","15291.0","Australia"
"536385","21730","GLASS STAR FROSTED T-LIGHT HOLDER","1","2011-01-01 15:13:00","4.25","14096.0","France"
"536385","85123A","WHITE HANGING HEART T-LIGHT HOLDER","7","2011-01-01 15:13:00","2.61","14096.0","France"
"536386","20685","DOORMAT RED RETROSPOT","8","2011-01-14 16:42:00","7.07","14096.0","Spain"
"536386","84029E","RED WOOLLY HOTTIE WHITE HEART","4","2011-01-14 16:42:00","3.87","14096.0","Spain"
"536386","47566","PARTY BUNTING","12","2011-01-14 16:42:00","5.18","14096.0","Spain"
"536386","20685","DOORMAT RED RETROSPOT","6","2011-01-14 16:42:00","7.01","14096.0","Spain"
"536387","84406B","CREAM CUPID HEARTS COAT HANGER","2","2011-01-02 09:54:00","3.01","17850.0","France"
"536387","85099B","JUMBO BAG RED RETROSPOT","4","2011-01-02 09:54:00","1.79","17850.0","France"
"536387","47566","PARTY BUNTING","4","2011-01-02 09:54:00","5.2","17850.0","France"
"536387","85123A","WHITE HANGING HEART T-LIGHT HOLDER","10","2011-01-02 09:54:00","2.5","17850.0","France"
"536388","84029E","RED WOOLLY HOTTIE WHITE HEART","7","2011-01-12 13:15:00","3.37","15311.0","Spain"
"536388","85099B","JUMBO BAG RED RETROSPOT","5","2011-01-12 13:15:00","1.82","15311.0","Spain"
"536388","71053","WHITE METAL LANTERN","1","2011-01-12 13:15:00","3.56","15311.0","Spain"
"536389","84406B","CREAM CUPID HEARTS COAT HANGER","6","2010-12-14 16:16:00","3.18","15291.0","Germany"
"536390","22632","HAND WARMER RED POLKA DOT","12","2010-12-11 15:53:00","1.93","14606.0","Netherlands"
"536390","85099B","JUMBO BAG RED RETROSPOT","9","2010-12-11 15:53:00","1.55","14606.0","Netherlands"
"536391","71053","WHITE METAL LANTERN","12","2010-12-17 09:56:00","3.62","12583.0","Germany"
"536391","84029E","RED WOOLLY HOTTIE WHITE HEART","5","2010-12-17 09:56:00","3.65","12583.0","Germany"
"536391","20685","DOORMAT RED RETROSPOT","6","2010-12-17 09:56:00","7.1","12583.0","Germany"
"536392","85099B","JUMBO BAG RED RETROSPOT","7","2011-01-27 08:05:00","2.05","14606.0","Australia"
"536392","85123A","WHITE HANGING HEART T-LIGHT HOLDER","1","2011-01-27 08:05:00","2.65","14606.0","Australia"
"536392","84406B","CREAM CUPID HEARTS COAT HANGER","11","2011-01-27 08:05:00","3.24","14606.0","Australia"
"536393","85123A","WHITE HANGING HEART T-LIGHT HOLDER","2","2011-01-15 14:35:00","2.5","15291.0","Australia"
"536393","20685","DOORMAT RED RETROSPOT","3","2011-01-15 14:35:00","7.31","15291.0","Australia"
"536394","22752","SET 7 BABUSHKA NESTING BOXES","1","2010-12-09 08:19:00","8.09","14096.0","France"
"536394","84029G","KNITTED UNION FLAG HOT WATER BOTTLE","11","2010-12-09 08:19:00","3.44","14096.0","France"
"536394","71053","WHITE METAL LANTERN","6","2010-12-09 08:19:00","3.76","14096.0","France"
"536395","84406B","CREAM CUPID HEARTS COAT HANGER","7","2011-01-25 10:51:00","2.66","15311.0","France"
"536395","20685","DOORMAT RED RETROSPOT","6","2011-01-25 10:51:00","7.45","15311.0","France"
"536395","21730","GLASS STAR FROSTED T-LIGHT HOLDER","11","2011-01-25 10:51:00","4.67","15311.0","France"
"536395","84029G","KNITTED UNION FLAG HOT WATER BOTTLE","5","2011-01-25 10:51:00","3.39","15311.0","France"
"536396","84029G","KNITTED UNION FLAG HOT WATER BOTTLE","8","2011-01-24 15:14:00","3.5","17850.0","Belgium"
"536397","22752","SET 7 BABUSHKA NESTING BOXES","5","2011-01-12 11:25:00","8.07","17850.0","EIRE"
"536397","84029E","RED WOOLLY HOTTIE WHITE HEART","6","2011-01-12 11:25:00","3.67","17850.0","EIRE"
"536398","47566","PARTY BUNTING","5","2010-12-08 12:11:00","4.87","17850.0","Netherlands"
"536398","47566","PARTY BUNTING","7","2010-12-08 12:11:00","5.06","17850.0","Netherlands"
"536398","22752","SET 7 BABUSHKA NESTING BOXES","7","2010-12-08 12:11:00","7.91","17850.0","Netherlands"
"536398","22632","HAND WARMER RED POLKA DOT","2","2010-12-08 12:11:00","1.98","17850.0","Netherlands"
"536399","22632","HAND WARMER RED POLKA DOT","9","2011-01-15 14:00:00","2.16","17850.0","Spain"
"536399","20685","DOORMAT RED RETROSPOT","12","2011-01-15 14:00:00","7.38","17850.0","Spain"
"536400","22752","SET 7 BABUSHKA NESTING BOXES","11","2011-01-30 13:39:00","8.06","13047.0","Belgium"
"536400","20685","DOORMAT RED RETROSPOT","5","2011-01-30 13:39:00","7.28","13047.0","Belgium"
"536400","85099B","JUMBO BAG RED RETROSPOT","7","2011-01-30 13:39:00","1.75","13047.0","Belgium"
"536401","20685","DOORMAT RED RETROSPOT","3","2010-12-27 14:43:00","7.35","15311.0","France"
"536401","84029E","RED WOOLLY HOTTIE WHITE HEART","7","2010-12-27 14:43:00","3.62","15311.0","France"
"536401","85123A","WHITE HANGING HEART T-LIGHT HOLDER","5","2010-12-27 14:43:00","2.62","15311.0","France"
"536402","84029G","KNITTED UNION FLAG HOT WATER BOTTLE","9","2010-12-29 15:43:00","3.57","13777.0","Netherlands"
"536402","20685","DOORMAT RED RETROSPOT","3","2010-12-29 15:43:00","7.38","13777.0","Netherlands"
"536402","84029E","RED WOOLLY HOTTIE WHITE HEART","9","2010-12-29 15:43:00","3.69","13777.0","Netherlands"
"536402","47566","PARTY BUNTING","6","2010-12-29 15:43:00","4.91","13777.0","Netherlands"
"536403","85123A","WHITE HANGING HEART T-LIGHT HOLDER","1","2011-01-21 11:09:00","2.6","15311.0","Spain"
"536403","22633","HAND WARMER UNION JACK","10","2011-01-21 11:09:00","2.26","15311.0","Spain"
"536404","20685","DOORMAT RED RETROSPOT","7","2011-01-26 11:45:00","7.28","14096.0","Australia"
"536405","21730","GLASS STAR FROSTED T-LIGHT HOLDER","4","2011-01-27 09:49:00","4.26","17850.0","France"
"536405","20685","DOORMAT RED RETROSPOT","9","2011-01-27 09:49:00","7.26","17850.0","France"
"536406","22632","HAND WARMER RED POLKA DOT","9","2010-12-09 15:42:00","2.11","13777.0","Germany"
"536406","22633","HAND WARMER UNION JACK","10","2010-12-09 15:42:00","2.24","13777.0","Germany"
"536407","84029E","RED WOOLLY HOTTIE WHITE HEART","4","2011-01-17 15:28:00","3.79","12583.0","Australia"
"536407","84029E","RED WOOLLY HOTTIE WHITE HEART","9","2011-01-17 15:28:00","3.58","12583.0","Australia"
"536407","84029G","KNITTED UNION FLAG HOT WATER BOTTLE","5","2011-01-17 15:28:00","3.55","12583.0","Australia"
"536407","20685","DOORMAT RED RETROSPOT","5","2011-01-17 15:28:00","7.12","12583.0","Australia"
"536408","84029G","KNITTED UNION FLAG HOT WATER BOTTLE","7","2010-12-06 10:09:00","3.71","15291.0","Netherlands"
"536408","20685","DOORMAT RED RETROSPOT","4","2010-12-06 10:09:00","7.02","15291.0","Netherlands"
"536408","21730","GLASS STAR FROSTED T-LIGHT HOLDER","6","2010-12-06 10:09:00","4.48","15291.0","Netherlands"
"536409","47566","PARTY BUNTING","12","2011-01-23 14:24:00","4.86","15311.0","United Kingdom"
"536409","47566","PARTY BUNTING","7","2011-01-23 14:24:00","5.14","15311.0","United Kingdom"
"536409","22752","SET 7 BABUSHKA NESTING BOXES","5","2011-01-23 14:24:00","8.0","15311.0","United Kingdom"
"536409","21730","GLASS STAR FROSTED T-LIGHT HOLDER","9","2011-01-23 14:24:00","4.6","15311.0","United Kingdom"
"536410","85123A","WHITE HANGING HEART T-LIGHT HOLDER","7","2010-12-18 14:31:00","2.65","15311.0","Australia"
"536410","85099B","JUMBO BAG RED RETROSPOT","7","2010-12-18 14:31:00","1.98","15311.0","Australia"
"536411","21730","GLASS STAR FROSTED T-LIGHT HOLDER","10","2011-01-04 08:58:00","4.49","16029.0","France"
"536411","85123A","WHITE HANGING HEART T-LIGHT HOLDER","2","2011-01-04 08:58:00","2.84","16029.0","France"
"536411","84406B","CREAM CUPID HEARTS COAT HANGER","8","2011-01-04 08:58:00","2.76","16029.0","France"
"536411","84029E","RED WOOLLY HOTTIE WHITE HEART","7","2011-01-04 08:58:00","3.49","16029.0","France"
"536412","21730","GLASS STAR FROSTED T-LIGHT HOLDER","5","2011-01-18 14:17:00","4.65","17809.0","Netherlands"
"536412","22633","HAND WARMER UNION JACK","1","2011-01-18 14:17:00","2.2","17809.0","Netherlands"
"536412","85123A","WHITE HANGING HEART T-LIGHT HOLDER","6","2011-01-18 14:17:00","2.58","17809.0","Netherlands"
"536412","71053","WHITE METAL LANTERN","11","2011-01-18 14:17:00","3.31","17809.0","Netherlands"
"536413","84406B","CREAM CUPID HEARTS COAT HANGER","4","2011-01-23 08:39:00","2.73","15311.0","EIRE"
"536414","22752","SET 7 BABUSHKA NESTING BOXES","3","2011-01-14 12:49:00","7.91","13777.0","EIRE"
"536415","84029E","RED WOOLLY HOTTIE WHITE HEART","10","2010-12-07 08:59:00","3.7","14606.0","France"
"536416","20685","DOORMAT RED RETROSPOT","5","2010-12-05 11:06:00","7.49","15311.0","Belgium"
"536416","47566","PARTY BUNTING","2","2010-12-05 11:06:00","5.33","15311.0","Belgium"
"536416","47566","PARTY BUNTING","1","2010-12-05 11:06:00","5.06","15311.0","Belgium"
"536416","21730","GLASS STAR FROSTED T-LIGHT HOLDER","11","2010-12-05 11:06:00","4.37","15311.0","Belgium"
"536417","21730","GLASS STAR FROSTED T-LIGHT HOLDER","6","2011-01-22 15:06:00","4.53","14096.0","United Kingdom"
"536417","22633","HAND WARMER UNION JACK","12","2011-01-22 15:06:00","1.84","14096.0","United Kingdom"
"536417","84406B","CREAM CUPID HEARTS COAT HANGER","12","2011-01-22 15:06:00","2.96","14096.0","United Kingdom"
"536418","84029G","KNITTED UNION FLAG HOT WATER BOTTLE","2","2010-12-28 12:20:00","3.46","13777.0","Australia"
"536418","22633","HAND WARMER UNION JACK","4","2010-12-28 12:20:00","2.2","13777.0","Australia"
"536418","47566","PARTY BUNTING","10","2010-12-28 12:20:00","5.25","13777.0","Australia"
"536419","22633","HAND WARMER UNION JACK","4","2011-01-24 13:11:00","1.96","13777.0","United Kingdom"
"536419","84029E","RED WOOLLY HOTTIE WHITE HEART","6","2011-01-24 13:11:00","3.46","13777.0","United Kingdom"
"536419","47566","PARTY BUNTING","12","2011-01-24 13:11:00","5.38","13777.0","United Kingdom"
"536420","22632","HAND WARMER RED POLKA DOT","4","2010-12-16 14:31:00","2.16","13047.0","EIRE"
"536421","21730","GLASS STAR FROSTED T-LIGHT HOLDER","12","2010-12-06 12:14:00","4.3","17850.0","Australia"
"536421","85099B","JUMBO BAG RED RETROSPOT","10","2010-12-06 12:14:00","1.77","17850.0","Australia"
"536421","22632","HAND WARMER RED POLKA DOT","9","2010-12-06 12:14:00","1.96","17850.0","Australia"
"536421","20685","DOORMAT RED RETROSPOT","9","2010-12-06 12:14:00","7.18","17850.0","Australia"
"536422","20685","DOORMAT RED RETROSPOT","4","2010-12-17 11:07:00","7.17","14606.0","Spain"
"536422","20685","DOORMAT RED RETROSPOT","9","2010-12-17 11:07:00","7.55","14606.0","Spain"
"536422","20685","DOORMAT RED RETROSPOT","3","2010-12-17 11:07:00","7.09","14606.0","Spain"
"536422","20685","DOORMAT RED RETROSPOT","8","2010-12-17 11:07:00","7.15","14606.0","Spain"
"536423","84406B","CREAM CUPID HEARTS COAT HANGER","5","2010-12-19 11:23:00","2.66","15311.0","Germany"
"536423","22632","HAND WARMER RED POLKA DOT","3","2010-12-19 11:23:00","1.91","15311.0","Germany"
"536423","85123A","WHITE HANGING HEART T-LIGHT HOLDER","9","2010-12-19 11:23:00","2.63","15311.0","Germany"
"536424","84029E","RED WOOLLY HOTTIE WHITE HEART","8","2011-01-25 08:36:00","3.58","13047.0","Australia"
"536424","22752","SET 7 BABUSHKA NESTING BOXES","3","2011-01-25 08:36:00","8.13","13047.0","Australia"
"536425","22633","HAND WARMER UNION JACK","2","2011-01-22 09:25:00","2.1","13047.0","Australia"
"536425","85099B","JUMBO BAG RED RETROSPOT","1","2011-01-22 09:25:00","1.64","13047.0","Australia"
"536425","47566","PARTY BUNTING","5","2011-01-22 09:25:00","4.9","13047.0","Australia"
"536426","47566","PARTY BUNTING","10","2011-01-18 14:38:00","4.99","15291.0","Germany"
"536426","22632","HAND WARMER RED POLKA DOT","7","2011-01-18 14:38:00","2.02","15291.0","Germany"
"536427","47566","PARTY BUNTING","1","2010-12-28 12:36:00","5.22","16029.0","Spain"
"536427","20685","DOORMAT RED RETROSPOT","2","2010-12-28 12:36:00","7.55","16029.0","Spain"
"536427","84029G","KNITTED UNION FLAG HOT WATER BOTTLE","11","2010-12-28 12:36:00","3.42","16029.0","Spain"
"536427","85099B","JUMBO BAG RED RETROSPOT","2","2010-12-28 12:36:00","1.64","16029.0","Spain"
"536428","20685","DOORMAT RED RETROSPOT","10","2010-12-01 14:28:00","7.26","12583.0","Germany"
"536428","85123A","WHITE HANGING HEART T-LIGHT HOLDER","4","2010-12-01 14:28:00","2.62","12583.0","Germany"
"536429","84029E","RED WOOLLY HOTTIE WHITE HEART","11","2011-01-13 11:59:00","3.64","13047.0","Australia"
"536429","84029G","KNITTED UNION FLAG HOT WATER BOTTLE","7","2011-01-13 11:59:00","3.36","13047.0","Australia"
"536429","84029G","KNITTED UNION FLAG HOT WATER BOTTLE","11","2011-01-13 11:59:00","3.38","13047.0","Australia"
"536430","84029E","RED WOOLLY HOTTIE WHITE HEART","10","2010-12-04 10:50:00","3.74","13047.0","France"
"536430","47566","PARTY BUNTING","5","2010-12-04 10:50:00","5.11","13047.0","France"
"536430","22633","HAND WARMER UNION JACK","12","2010-12-04 10:50:00","1.93","13047.0","France"
"536431","71053","WHITE METAL LANTERN","10","2011-01-04 15:28:00","3.31","15291.0","Spain"
"536431","21730","GLASS STAR FROSTED T-LIGHT HOLDER","12","2011-01-04 15:28:00","4.34","15291.0","Spain"
"536431","84029E","RED WOOLLY HOTTIE WHITE HEART","1","2011-01-04 15:28:00","3.34","15291.0","Spain"
"536431","85099B","JUMBO BAG RED RETROSPOT","10","2011-01-04 15:28:00","1.9","15291.0","Spain"
"536432","22632","HAND WARMER RED POLKA DOT","11","2010-12-03 10:30:00","2.02","16029.0","Spain"
"536433","22633","HAND WARMER UNION JACK","6","2010-12-28 15:05:00","2.0","16029.0","France"
"536433","22752","SET 7 BABUSHKA NESTING BOXES","11","2010-12-28 15:05:00","7.61","16029.0","France"
"536433","84406B","CREAM CUPID HEARTS COAT HANGER","6","2010-12-28 15:05:00","2.9","16029.0","France"
"536434","22633","HAND WARMER UNION JACK","2","2011-01-22 16:02:00","1.94","14096.0","Spain"
"536434","22752","SET 7 BABUSHKA NESTING BOXES","2","2011-01-22 16:02:00","8.13","14096.0","Spain"
"536434","21730","GLASS STAR FROSTED T-LIGHT HOLDER","9","2011-01-22 16:02:00","4.64","14096.0","Spain"
"536434","85123A","WHITE HANGING HEART T-LIGHT HOLDER","11","2011-01-22 16:02:00","2.97","14096.0","Spain"
"536435","47566","PARTY BUNTING","8","2010-12-13 16:23:00","5.23","17850.0","Belgium"
"536435","85123A","WHITE HANGING HEART T-LIGHT HOLDER","4","2010-12-13 16:23:00","2.61","17850.0","Belgium"
"536435","84406B","CREAM CUPID HEARTS COAT HANGER","5","2010-12-13 16:23:00","2.91","17850.0","Belgium"
"536435","20685","DOORMAT RED RETROSPOT","8","2010-12-13 16:23:00","7.05","17850.0","Belgium"
"536436","21730","GLASS STAR FROSTED T-LIGHT HOLDER","2","2011-01-05 08:35:00","4.28","14606.0","France"
"536436","71053","WHITE METAL LANTERN","8","2011-01-05 08:35:00","3.86","14606.0","France"
"536437","22633","HAND WARMER UNION JACK","8","2011-01-02 12:26:00","1.9","14606.0","Australia"
"536437","22632","HAND WARMER RED POLKA DOT","3","2011-01-02 12:26:00","1.98","14606.0","Australia"
"536438","22632","HAND WARMER RED POLKA DOT","5","2011-01-19 14:21:00","2.24","14606.0","Germany"
"536438","84029E","RED WOOLLY HOTTIE WHITE HEART","12","2011-01-19 14:21:00","3.47","14606.0","Germany"
"536439","22752","SET 7 BABUSHKA NESTING BOXES","9","2011-01-04 15:22:00","8.01","13777.0","France"
"536439","21730","GLASS STAR FROSTED T-LIGHT HOLDER","8","2011-01-04 15:22:00","4.71","13777.0","France"
"536439","84029G","KNITTED UNION FLAG HOT WATER BOTTLE","12","2011-01-04 15:22:00","3.43","13777.0","France"
"536439","21730","GLASS STAR FROSTED T-LIGHT HOLDER","4","2011-01-04 15:22:00","4.66","13777.0","France"
"536440","21730","GLASS STAR FROSTED T-LIGHT HOLDER","7","2011-01-17 15:45:00","4.74","17809.0","United Kingdom"
"536440","85099B","JUMBO BAG RED RETROSPOT","3","2011-01-17 15:45:00","1.85","17809.0","United Kingdom"
"536440","85123A","WHITE HANGING HEART T-LIGHT HOLDER","3","2011-01-17 15:45:00","2.75","17809.0","United Kingdom"
"536440","47566","PARTY BUNTING","6","2011-01-17 15:45:00","5.37","17809.0","United Kingdom"
"536441","20685","DOORMAT RED RETROSPOT","3","2011-01-28 15:00:00","7.23","15291.0","Germany"
"536441","85099B","JUMBO BAG RED RETROSPOT","3","2011-01-28 15:00:00","1.59","15291.0","Germany"
"536441","84029E","RED WOOLLY HOTTIE WHITE HEART","6","2011-01-28 15:00:00","3.66","15291.0","Germany"
"536441","21730","GLASS STAR FROSTED T-LIGHT HOLDER","11","2011-01-28 15:00:00","4.2","15291.0","Germany"
"536442","22632","HAND WARMER RED POLKA DOT","1","2011-01-10 15:55:00","2.12","17809.0","Belgium"
"536442","84029G","KNITTED UNION FLAG HOT WATER BOTTLE","11","2011-01-10 15:55:00","3.7","17809.0","Belgium"
"536442","84029E","RED WOOLLY HOTTIE WHITE HEART","4","2011-01-10 15:55:00","3.74","17809.0","Belgium"
"536443","84029E","RED WOOLLY HOTTIE WHITE HEART","1","2010-12-29 10:44:00","3.32","13047.0","Germany"
"536443","85123A","WHITE HANGING HEART T-LIGHT HOLDER","5","2010-12-29 10:44:00","2.67","13047.0","Germany"
"536443","21730","GLASS STAR FROSTED T-LIGHT HOLDER","3","2010-12-29 10:44:00","4.3","13047.0","Germany"
"536443","21730","GLASS STAR FROSTED T-LIGHT HOLDER","10","2010-12-29 10:44:00","4.56","13047.0","Germany"
"536444","85099B","JUMBO BAG RED RETROSPOT","4","2010-12-06 14:39:00","1.85","12583.0","France"
"536444","47566","PARTY BUNTING","3","2010-12-06 14:39:00","4.99","12583.0","France"
"536445","22633","HAND WARMER UNION JACK","5","2011-01-12 08:57:00","2.16","14606.0","Australia"
"536445","84406B","CREAM CUPID HEARTS COAT HANGER","2","2011-01-12 08:57:00","2.92","14606.0","Australia"
"536445","22752","SET 7 BABUSHKA NESTING BOXES","10","2011-01-12 08:57:00","7.73","14606.0","Australia"
"536446","21730","GLASS STAR FROSTED T-LIGHT HOLDER","8","2011-01-24 12:12:00","4.21","13777.0","Spain"
"536446","21730","GLASS STAR FROSTED T-LIGHT HOLDER","10","2011-01-24 12:12:00","4.37","13777.0","Spain"
"536446","84029E","RED WOOLLY HOTTIE WHITE HEART","12","2011-01-24 12:12:00","3.47","13777.0","Spain"
"536446","85099B","JUMBO BAG RED RETROSPOT","7","2011-01-24 12:12:00","1.71","13777.0","Spain"
"536447","22752","SET 7 BABUSHKA NESTING BOXES","4","2011-01-19 11:38:00","7.93","14606.0","Australia"
"536448","22633","HAND WARMER UNION JACK","1","2011-01-27 08:19:00","2.1","13047.0","France"
"536448","20685","DOORMAT RED RETROSPOT","3","2011-01-27 08:19:00","7.03","13047.0","France"
"536448","84029E","RED WOOLLY HOTTIE WHITE HEART","6","2011-01-27 08:19:00","3.74","13047.0","France"
"536449","22752","SET 7 BABUSHKA NESTING BOXES","9","2011-01-20 16:56:00","7.85","12583.0","EIRE"
"536449","84029E","RED WOOLLY HOTTIE WHITE HEART","3","2011-01-20 16:56:00","3.44","12583.0","EIRE"
"536450","71053","WHITE METAL LANTERN","3","2011-01-21 09:29:00","3.74","17809.0","Spain"
"536450","84029G","KNITTED UNION FLAG HOT WATER BOTTLE","11","2011-01-21 09:29:00","3.72","17809.0","Spain"
"536450","21730","GLASS STAR FROSTED T-LIGHT HOLDER","9","2011-01-21 09:29:00","4.37","17809.0","Spain"
"536450","21730","GLASS STAR FROSTED T-LIGHT HOLDER","1","2011-01-21 09:29:00","4.31","17809.0","Spain"
"536451","21730","GLASS STAR FROSTED T-LIGHT HOLDER","11","2011-01-13 12:37:00","4.71","17809.0","Australia"
"536452","47566","PARTY BUNTING","4","2010-12-02 16:20:00","5.24","13777.0","EIRE"
"536453","85123A","WHITE HANGING HEART T-LIGHT HOLDER","5","2010-12-08 10:02:00","3.05","14096.0","Spain"
"536453","71053","WHITE METAL LANTERN","2","2010-12-08 10:02:00","3.43","14096.0","Spain"
"536453","22632","HAND WARMER RED POLKA DOT","3","2010-12-08 10:02:00","1.98","14096.0","Spain"
"536453","22752","SET 7 BABUSHKA NESTING BOXES","11","2010-12-08 10:02:00","8.12","14096.0","Spain"
"536454","22633","HAND WARMER UNION JACK","10","2011-01-11 09:53:00","1.99","14096.0","France"
"536454","84029E","RED WOOLLY HOTTIE WHITE HEART","1","2011-01-11 09:53:00","3.7","14096.0","France"
"536454","84029G","KNITTED UNION FLAG HOT WATER BOTTLE","8","2011-01-11 09:53:00","3.56","14096.0","France"
"536454","84029G","KNITTED UNION FLAG HOT WATER BOTTLE","6","2011-01-11 09:53:00","3.35","14096.0","France"
"536455","71053","WHITE METAL LANTERN","8","2010-12-26 12:12:00","3.35","17850.0","Netherlands"
"536455","84029G","KNITTED UNION FLAG HOT WATER BOTTLE","11","2010-12-26 12:12:00","3.67","17850.0","Netherlands"
"536455","85123A","WHITE HANGING HEART T-LIGHT HOLDER","1","2010-12-26 12:12:00","2.92","17850.0","Netherlands"
"536456","22632","HAND WARMER RED POLKA DOT","4","2010-12-14 09:53:00","2.1","16029.0","France"
"536456","84029G","KNITTED UNION FLAG HOT WATER BOTTLE","6","2010-12-14 09:53:00","3.75","16029.0","France"
"536457","84406B","CREAM CUPID HEARTS COAT HANGER","2","2010-12-09 16:16:00","3.05","12583.0","Spain"
"536458","22752","SET 7 BABUSHKA NESTING BOXES","1","2010-12-23 11:37:00","7.65","17850.0","France"
"536459","71053","WHITE METAL LANTERN","8","2011-01-03 09:47:00","3.56","14096.0","France"
"536460","85123A","WHITE HANGING HEART T-LIGHT HOLDER","12","2011-01-02 11:39:00","2.92","13777.0","Germany"
